BIO_REGION_ID|ECO_REGION|ECO_REGION_DESCRIPTION|ECO_REGION_ID
AT18|St. Helena Scrub and Woodlands|St. Helena Island is in the South Atlantic Ocean, 1,950 km west of the African Coast.|60
AT18|Ascension Scrub and Grasslands|Ascension Island lies in the equatorial Atlantic Ocean, 1,200 km northwest of the Island of St. Helena and 1,700 km from the nearest mainland in Africa. |37
AT10|Namib Desert|This ecoregion extends along the coastal plain of western Namibia, from the Uniab River in the north to the town of Lüderitz in the south.|103
AT10|Namibian Savanna Woodlands|This ecoregion covers the narrow escarpment inland of the Namib Desert and broadens gradually towards the south, where it comprises extensive areas of the Nama Karoo plateau south of the town of Mariental.|104
AT10|Namaqualand-Richtersveld Steppe|This ecoregion extends down the western coast of Namibia from the town of Lüderitz and into South Africa. |102
AT10|Kaokoveld Desert|This ecoregion stretches along the west coast of southern Africa from the Uniab and Koigab Rivers in Namibia northwards into the Moçâmedes Desert of southern Angola.|98
AT9|Nama Karoo Shrublands|This ecoregion is a vast, open, arid region dominated by low-shrub vegetation, punctuated by rugged relief.|101
AT9|Gariep Karoo|This ecoregion is an extensive, open, arid region dominated by low-shrub vegetation, punctuated by rugged relief.|94
AT9|Kalahari Xeric Savanna|This ecoregion stretches across northwestern South Africa, southern Botswana and central-southeastern Namibia.|97
AT9|Kalahari Acacia Woodlands|This ecoregion occupies a broad band of land that runs from northern Namibia and extends across to Botswana, just east of the Okavango Delta.|47
AT8|Highveld Grasslands|The Highland grasslands draw their name from the high interior plateau of South Africa, known as the Highveld.|81
AT8|Limpopo Lowveld|This ecoregion is one of the world’s key strongholds for southern white and south-central black rhinos.|48
AT8|Drakensberg Grasslands|This ecoregion is found in southeastern South Africa, primarily within the Kwazulu-Natal province. |41
AT8|Drakensberg Escarpment Savanna and Thicket|This ecoregion is found alongside the numerous rivers of the Eastern Cape and KwaZulu-Natal Provinces of South Africa.|40
AT8|Central Bushveld|This ecoregion covers the southeast corner of Botswana and northern South Africa. |38
AT2|Succulent Karoo Xeric Shrublands|The Succulent Karoo is the world’s only plant hotspot that is entirely arid and hosts the world’s richest succulent dwarf shrub vegetation. |110
AT2|Renosterveld Shrubland|This ecoregion comprises the upland and lowland Renosterveld Shrubland portion of the world-renowned Cape Floristic Region (CFR) located in southwestern South Africa.|90
AT2|Fynbos Shrubland|The Fynbos Shrubland ecoregion is located at the southwestern tip of the African continent where it forms part of the Cape Floristic Region (CFR), one of the most biologically diverse regions on earth.|89
AT2|Albany Thickets|The Albany thicket is a dense, spiny shrubland with a canopy up to 2.5 m in height and usually abundant succulents.|88
AT2|Knysna-Amatole Montane Forests|This ecoregion is divided into two distinct portions, the Knysna forest along the coast and the Amatole forests further inland. |15
AT1|Tristan Da Cunha-Gough Islands Shrub and Grasslands|The Tristan da Cunha Island Group is an archipelago of five volcanic islands resting on the east slope of the mid-Atlantic ridge, midway between Africa and South America. |68
AT19|Western Guinean Lowland Forests|This ecoregion stretches from eastern Guinea, across Sierra Leone and Liberia, to the Sassandra River in south western Côte d’Ivoire.|30
